Using backend: pytorch
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::nll_loss         0.15%      23.016ms         0.60%      90.926ms     909.261us      22.270ms         0.15%      91.316ms     913.157us           0 b           0 b     100.00 Kb           0 b           100  
                     aten::log_softmax         0.15%      22.872ms         0.58%      88.387ms     883.866us      23.393ms         0.16%      90.444ms     904.440us           0 b           0 b       7.28 Mb           0 b           100  
                       NllLossBackward         0.15%      22.657ms         0.56%      84.863ms     848.632us      20.773ms         0.14%      82.413ms     824.130us           0 b           0 b     400.00 Kb           0 b           100  
                    LogSoftmaxBackward         0.13%      20.324ms         0.48%      73.170ms     731.698us      20.501ms         0.14%      75.338ms     753.385us           0 b           0 b       7.28 Mb           0 b           100  
                        aten::can_cast         0.46%      70.407ms         0.46%      70.407ms     117.345us      72.775ms         0.49%      72.775ms     121.291us           0 b           0 b           0 b           0 b           600  
                       aten::threshold         0.31%      47.424ms         0.48%      72.100ms     360.500us      72.270ms         0.48%      72.270ms     361.351us           0 b           0 b     297.51 Mb           0 b           200  
               aten::is_floating_point         0.47%      71.445ms         0.47%      71.445ms     119.075us      70.248ms         0.47%      70.248ms     117.079us           0 b           0 b           0 b           0 b           600  
                aten::nll_loss_forward         0.45%      67.910ms         0.45%      67.910ms     679.096us      69.046ms         0.46%      69.046ms     690.457us           0 b           0 b     100.00 Kb     100.00 Kb           100  
                    aten::_log_softmax         0.30%      46.079ms         0.43%      65.515ms     655.148us      67.051ms         0.45%      67.051ms     670.505us           0 b           0 b       7.28 Mb           0 b           100  
               aten::nll_loss_backward         0.41%      62.206ms         0.41%      62.206ms     622.064us      61.640ms         0.41%      61.640ms     616.395us           0 b           0 b     400.00 Kb     400.00 Kb           100  
                       aten::ones_like         0.15%      22.043ms         0.38%      58.419ms     584.194us      37.341ms         0.25%      60.593ms     605.932us           0 b           0 b      50.00 Kb           0 b           100  
                   aten::floor_divide_         0.26%      39.538ms         0.40%      60.049ms     600.488us      37.887ms         0.25%      57.437ms     574.374us           0 b           0 b           0 b           0 b           100  
      aten::_log_softmax_backward_data         0.28%      42.111ms         0.35%      52.845ms     528.454us      54.838ms         0.37%      54.838ms     548.377us           0 b           0 b       7.28 Mb           0 b           100  
                       aten::remainder         0.28%      42.242ms         0.35%      53.494ms     534.942us      53.153ms         0.35%      53.153ms     531.534us           0 b           0 b     150.00 Kb           0 b           100  
                          aten::select         0.22%      33.181ms         0.23%      34.335ms     114.449us      34.037ms         0.23%      34.037ms     113.455us           0 b           0 b           0 b           0 b           300  
                          AddBackward0         0.21%      31.113ms         0.21%      31.113ms     103.710us      32.139ms         0.21%      32.139ms     107.130us           0 b           0 b           0 b           0 b           300  
                    aten::floor_divide         0.14%      20.510ms         0.14%      20.510ms     205.104us      19.550ms         0.13%      19.550ms     195.502us           0 b           0 b           0 b           0 b           100  
                      aten::zeros_like         0.02%       2.746ms         0.06%       9.488ms     790.642us       5.465ms         0.04%      10.406ms     867.160us           0 b           0 b       2.87 Mb           0 b            12  
                          aten::detach         0.01%       1.381ms         0.01%       2.019ms     336.583us     980.578us         0.01%       1.503ms     250.557us           0 b           0 b           0 b           0 b             6  
                                detach         0.00%     638.000us         0.00%     638.000us     106.333us     522.766us         0.00%     522.766us      87.128us           0 b           0 b           0 b           0 b             6  
                              [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.24 Gb      -1.24 Gb          6500  
                           aten::empty         6.17%     935.556ms         6.17%     935.556ms      72.524us       0.000us         0.00%       0.000us       0.000us       6.25 Kb       6.25 Kb       4.95 Gb       4.95 Gb         12900  
                         aten::resize_         2.34%     355.565ms         2.34%     355.565ms     118.522us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      27.10 Mb      27.10 Mb          3000  
                      aten::as_strided         0.17%      25.833ms         0.17%      25.833ms      10.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2500  
                   aten::empty_strided         1.53%     232.740ms         1.53%     232.740ms     121.726us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      22.98 Mb      22.98 Mb          1912  
                      aten::empty_like         0.14%      21.149ms         1.01%     153.646ms     138.171us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      24.21 Mb           0 b          1112  
                            aten::view         0.10%      15.059ms         0.10%      15.059ms      16.733us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           900  
                               aten::t         0.05%       7.106ms         0.08%      12.375ms      15.469us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           800  
                       aten::transpose         0.02%       2.573ms         0.03%       5.269ms       6.586us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           800  
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.174s
Self CUDA time total: 14.977s

--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
