Using backend: pytorch
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::mm         1.72%       1.874ms         2.06%       2.243ms     747.733us       2.297ms         2.12%       2.297ms     765.598us           0 b           0 b       3.05 Mb           0 b             3  
                     aten::to         2.22%       2.415ms         2.22%       2.415ms     134.139us       2.282ms         2.10%       2.282ms     126.803us           0 b           0 b           0 b           0 b            18  
           aten::index_select         1.78%       1.938ms         1.81%       1.968ms     656.067us       1.963ms         1.81%       1.963ms     654.401us           0 b           0 b      14.93 Mb      14.93 Mb             3  
                aten::reshape         2.06%       2.241ms         2.19%       2.391ms     159.420us       1.925ms         1.77%       1.925ms     128.318us           0 b           0 b           0 b           0 b            15  
                   aten::ones         0.67%     729.900us         1.61%       1.757ms     585.533us       1.059ms         0.98%       1.748ms     582.785us           0 b           0 b     124.50 Kb           0 b             3  
           aten::masked_fill_         1.41%       1.537ms         1.41%       1.537ms     512.233us       1.541ms         1.42%       1.541ms     513.812us           0 b           0 b           0 b           0 b             3  
              aten::expand_as         1.11%       1.206ms         1.36%       1.478ms     164.278us       1.458ms         1.34%       1.458ms     162.041us           0 b           0 b           0 b           0 b             9  
                   aten::relu         1.07%       1.163ms         1.91%       2.087ms       1.043ms     721.922us         0.67%       1.439ms     719.697us           0 b           0 b       2.98 Mb           0 b             2  
                   aten::add_         1.32%       1.441ms         1.32%       1.441ms     480.467us       1.432ms         1.32%       1.432ms     477.228us           0 b           0 b           0 b           0 b             3  
                   aten::item         0.78%     848.400us         1.15%       1.249ms     416.433us     850.268us         0.78%       1.250ms     416.510us           0 b           0 b           0 b           0 b             3  
            aten::result_type         1.06%       1.157ms         1.06%       1.157ms     385.500us       1.182ms         1.09%       1.182ms     393.865us           0 b           0 b           0 b           0 b             3  
            aten::log_softmax         0.25%     277.200us         0.88%     964.000us     964.000us     271.094us         0.25%     958.461us     958.461us           0 b           0 b      74.50 Kb           0 b             1  
                 aten::unfold         0.70%     763.300us         0.75%     821.300us     136.883us     821.218us         0.76%     821.218us     136.870us           0 b           0 b           0 b           0 b             6  
                  aten::copy_         0.69%     747.200us         0.69%     747.200us     249.067us     745.792us         0.69%     745.792us     248.597us           0 b           0 b           0 b           0 b             3  
              aten::threshold         0.62%     675.000us         0.85%     923.300us     461.650us     717.473us         0.66%     717.473us     358.736us           0 b           0 b       2.98 Mb           0 b             2  
           aten::_log_softmax         0.52%     568.000us         0.63%     686.800us     686.800us     687.367us         0.63%     687.367us     687.367us           0 b           0 b      74.50 Kb           0 b             1  
               aten::can_cast         0.40%     432.200us         0.40%     432.200us     144.067us     433.701us         0.40%     433.701us     144.567us           0 b           0 b           0 b           0 b             3  
    aten::_local_scalar_dense         0.37%     400.900us         0.37%     400.900us     133.633us     399.262us         0.37%     399.262us     133.087us           0 b           0 b           0 b           0 b             3  
                  aten::alias         0.36%     388.800us         0.36%     388.800us     129.600us     386.776us         0.36%     386.776us     128.925us           0 b           0 b           0 b           0 b             3  
                     [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -34.63 Mb     -34.63 Mb            52  
                  aten::empty         5.15%       5.616ms         5.15%       5.616ms      85.092us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      25.95 Mb      25.95 Mb            66  
             aten::as_strided         0.88%     955.600us         0.88%     955.600us      10.275us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            93  
                aten::resize_         3.10%       3.378ms         3.10%       3.378ms     125.100us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.38 Mb       1.38 Mb            27  
              aten::unsqueeze         0.17%     188.200us         0.23%     250.300us      41.717us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
                 aten::expand         0.19%     212.000us         0.31%     336.900us      28.075us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12  
                  aten::slice         0.08%      85.600us         0.10%     112.000us      37.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                      aten::t         0.26%     284.000us         0.42%     453.100us      50.344us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
              aten::transpose         0.08%      90.900us         0.16%     169.100us      18.789us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                   aten::view         0.22%     234.800us         0.22%     234.800us      13.044us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            18  
             aten::empty_like         0.01%      10.200us         0.11%     118.800us     118.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      74.50 Kb           0 b             1  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 108.972ms
Self CUDA time total: 108.490ms

Accuracy: 0.7780
Accuracy: 0.7580
